survey_id,submitted_at,product_line,region,rating,comment_raw
S0001,2023-10-01,iPhone,US,5,"Agent was very helpful and polite."
S0002,2023-10-02,Mac,EU,4,"Issue resolved quickly."
S0003,2023-10-03,Watch,US,3,"Service was okay but not great."
S0004,2023-10-04,AirPods,APAC,2,"Wait time was too long."
S0005,2023-10-05,Services,US,1,"Extremely frustrated with account recovery."
S0006,2023-10-06,iPhone,LATAM,5,"Fantastic experience overall."
S0007,2023-10-07,Mac,US,4,"Advisor knew exactly what to do."
S0008,2023-10-08,Watch,EU,3,"Nothing special, average support."
S0009,2023-10-09,AirPods,US,2,"Had to repeat myself multiple times."
S0010,2023-10-10,Services,APAC,5,"Everything worked smoothly."

S0011,2023-10-11,iPhone,US,4,"Good support, minimal waiting."
S0012,2023-10-12,Mac,LATAM,3,"Problem solved eventually."
S0013,2023-10-13,Watch,EU,5,"Advisor went above and beyond."
S0014,2023-10-14,AirPods,US,1,"Worst support experience ever."
S0015,2023-10-15,Services,US,4,"Satisfied with the help provided."
S0016,2023-10-16,iPhone,APAC,3,"Average interaction."
S0017,2023-10-17,Mac,EU,2,"Long hold times."
S0018,2023-10-18,Watch,US,5,"Quick and friendly service."
S0019,2023-10-19,AirPods,LATAM,4,"Agent was patient and clear."
S0020,2023-10-20,Services,US,1,"Issue not resolved at all."

S0021,2023-11-01,iPhone,US,5,"Excellent follow up and clarity."
S0022,2023-11-02,Mac,EU,4,"Helpful but slightly slow."
S0023,2023-11-03,Watch,US,3,"Neutral experience."
S0024,2023-11-04,AirPods,APAC,2,"Had to call back twice."
S0025,2023-11-05,Services,US,1,"Very disappointed."
S0026,2023-11-06,iPhone,LATAM,5,"Loved the support experience."
S0027,2023-11-07,Mac,US,4,"Clear instructions provided."
S0028,2023-11-08,Watch,EU,3,"Okay service."
S0029,2023-11-09,AirPods,US,2,"Felt rushed during the call."
S0030,2023-11-10,Services,APAC,5,"Fast resolution."

S0031,2023-11-11,iPhone,US,4,"Good overall support."
S0032,2023-11-12,Mac,LATAM,3,"Average quality service."
S0033,2023-11-13,Watch,EU,5,"Very knowledgeable advisor."
S0034,2023-11-14,AirPods,US,1,"Unhelpful response."
S0035,2023-11-15,Services,US,4,"Problem solved satisfactorily."
S0036,2023-11-16,iPhone,APAC,3,"Nothing memorable."
S0037,2023-11-17,Mac,EU,2,"Too much waiting."
S0038,2023-11-18,Watch,US,5,"Great customer service."
S0039,2023-11-19,AirPods,LATAM,4,"Good communication."
S0040,2023-11-20,Services,US,1,"Still locked out of my account."

S0041,2023-12-01,iPhone,US,5,"Perfect support experience."
S0042,2023-12-02,Mac,EU,4,"Solid help overall."
S0043,2023-12-03,Watch,US,3,"Acceptable assistance."
S0044,2023-12-04,AirPods,APAC,2,"Support felt rushed."
S0045,2023-12-05,Services,US,1,"Account issue unresolved."
S0046,2023-12-06,iPhone,LATAM,5,"Advisor was amazing."
S0047,2023-12-07,Mac,US,4,"Clear troubleshooting steps."
S0048,2023-12-08,Watch,EU,3,"Neither good nor bad."
S0049,2023-12-09,AirPods,US,2,"Had trouble understanding agent."
S0050,2023-12-10,Services,APAC,5,"Very satisfied."

S0051,2023-12-11,iPhone,US,4,"Support met expectations."
S0052,2023-12-12,Mac,LATAM,3,"Issue took time to fix."
S0053,2023-12-13,Watch,EU,5,"Excellent knowledge."
S0054,2023-12-14,AirPods,US,1,"Extremely poor service."
S0055,2023-12-15,Services,US,4,"Helpful interaction."
S0056,2023-12-16,iPhone,APAC,3,"It was fine."
S0057,2023-12-17,Mac,EU,2,"Slow response time."
S0058,2023-12-18,Watch,US,5,"Very professional."
S0059,2023-12-19,AirPods,LATAM,4,"Good explanation."
S0060,2023-12-20,Services,US,1,"No resolution provided."

S0061,2024-01-01,iPhone,US,5,"Amazing start to the year."
S0062,2024-01-02,Mac,EU,4,"Pretty good service."
S0063,2024-01-03,Watch,US,3,"Average help."
S0064,2024-01-04,AirPods,APAC,2,"Not satisfied."
S0065,2024-01-05,Services,US,1,"Worst experience."
S0066,2024-01-06,iPhone,LATAM,5,"Loved the support."
S0067,2024-01-07,Mac,US,4,"Agent was patient."
S0068,2024-01-08,Watch,EU,3,"Nothing special."
S0069,2024-01-09,AirPods,US,2,"Long wait."
S0070,2024-01-10,Services,APAC,5,"Resolved quickly."

S0071,2024-01-11,iPhone,US,4,"Good service."
S0072,2024-01-12,Mac,LATAM,3,"Okay experience."
S0073,2024-01-13,Watch,EU,5,"Outstanding support."
S0074,2024-01-14,AirPods,US,1,"Terrible help."
S0075,2024-01-15,Services,US,4,"Satisfied overall."
S0076,2024-01-16,iPhone,APAC,3,"Neutral."
S0077,2024-01-17,Mac,EU,2,"Too slow."
S0078,2024-01-18,Watch,US,5,"Fantastic agent."
S0079,2024-01-19,AirPods,LATAM,4,"Good support."
S0080,2024-01-20,Services,US,1,"Still unresolved."

S0081,2024-02-01,iPhone,US,5,"Very happy with support."
S0082,2024-02-02,Mac,EU,4,"Good guidance."
S0083,2024-02-03,Watch,US,3,"Average call."
S0084,2024-02-04,AirPods,APAC,2,"Confusing instructions."
S0085,2024-02-05,Services,US,1,"Account recovery failed."
S0086,2024-02-06,iPhone,LATAM,5,"Great advisor."
S0087,2024-02-07,Mac,US,4,"Helpful and calm."
S0088,2024-02-08,Watch,EU,3,"Okay support."
S0089,2024-02-09,AirPods,US,2,"Too many transfers."
S0090,2024-02-10,Services,APAC,5,"Excellent outcome."

S0091,2024-02-11,iPhone,US,4,"Support was solid."
S0092,2024-02-12,Mac,LATAM,3,"Not bad."
S0093,2024-02-13,Watch,EU,5,"Very impressed."
S0094,2024-02-14,AirPods,US,1,"Poor communication."
S0095,2024-02-15,Services,US,4,"Issue resolved."
S0096,2024-02-16,iPhone,APAC,3,"Average service."
S0097,2024-02-17,Mac,EU,2,"Slow fix."
S0098,2024-02-18,Watch,US,5,"Excellent experience."
S0099,2024-02-19,AirPods,LATAM,4,"Clear explanation."
S0100,2024-02-20,Services,US,1,"Extremely frustrating process."
